scenario,n_train,augment,alpha_factor,split_id,split_strategy,sigma_own,n_train_rows,n_test_rows,n_train_groups,n_test_groups,n_lit_rows,rmse,r2,y_test_mean
augmented_10,10,True,3.0,5,holdout,36.74305914822144,10,10,10,10,8,55.13451799204941,-2.5515837893769593,210.8923223880597
augmented_10,10,True,5.0,5,holdout,36.74305914822144,10,10,10,10,8,55.1252095607095,-2.550384653724678,210.8923223880597
augmented_10,10,True,10.0,5,holdout,36.74305914822144,10,10,10,10,8,55.12092838757464,-2.549833210155038,210.8923223880597
augmented_10,10,True,20.0,5,holdout,36.74305914822144,10,10,10,10,8,55.12012158654374,-2.5497292936130957,210.8923223880597
augmented_10,10,True,50.0,5,holdout,36.74305914822144,10,10,10,10,8,55.11988978566587,-2.5496994377777806,210.8923223880597
augmented_10,10,True,3.0,6,holdout,40.25424913811385,10,10,10,10,8,39.51661205686918,-0.19863612444917633,230.56916716417913
augmented_10,10,True,5.0,6,holdout,40.25424913811385,10,10,10,10,8,39.510953483825645,-0.19829287212589009,230.56916716417913
augmented_10,10,True,10.0,6,holdout,40.25424913811385,10,10,10,10,8,39.508674792545996,-0.19815465927405795,230.56916716417913
augmented_10,10,True,20.0,6,holdout,40.25424913811385,10,10,10,10,8,39.50793614439269,-0.1981098586596084,230.56916716417913
augmented_10,10,True,50.0,6,holdout,40.25424913811385,10,10,10,10,8,39.50786416948028,-0.19810549326966376,230.56916716417913
augmented_10,10,True,3.0,7,holdout,43.37692570371185,10,10,10,10,8,39.80844072946219,-1.361048803952169,221.51048059701492
augmented_10,10,True,5.0,7,holdout,43.37692570371185,10,10,10,10,8,39.801135965922676,-1.3601823886634903,221.51048059701492
augmented_10,10,True,10.0,7,holdout,43.37692570371185,10,10,10,10,8,39.798052250456,-1.3598166780468626,221.51048059701492
augmented_10,10,True,20.0,7,holdout,43.37692570371185,10,10,10,10,8,39.79732174280147,-1.3597300482633408,221.51048059701492
augmented_10,10,True,50.0,7,holdout,43.37692570371185,10,10,10,10,8,39.79698545694772,-1.3596901691736711,221.51048059701492
augmented_10,10,True,3.0,8,holdout,35.169873289249516,10,10,10,10,8,42.34928397020841,-0.3035887492385112,227.74369253731348
augmented_10,10,True,5.0,8,holdout,35.169873289249516,10,10,10,10,8,42.34063128570848,-0.3030561126125477,227.74369253731348
augmented_10,10,True,10.0,8,holdout,35.169873289249516,10,10,10,10,8,42.33695046338651,-0.30282956381533244,227.74369253731348
augmented_10,10,True,20.0,8,holdout,35.169873289249516,10,10,10,10,8,42.33592884906105,-0.3027666885599021,227.74369253731348
augmented_10,10,True,50.0,8,holdout,35.169873289249516,10,10,10,10,8,42.33595327079828,-0.3027681915780607,227.74369253731348
augmented_10,10,True,3.0,9,holdout,36.02012550509552,10,10,10,10,8,45.30802650164188,-1.7282348236018192,217.7303104477612
augmented_10,10,True,5.0,9,holdout,36.02012550509552,10,10,10,10,8,45.297641759887235,-1.7269843269731533,217.7303104477612
augmented_10,10,True,10.0,9,holdout,36.02012550509552,10,10,10,10,8,45.29330687108576,-1.7264624186472082,217.7303104477612
augmented_10,10,True,20.0,9,holdout,36.02012550509552,10,10,10,10,8,45.29193168373,-1.7262968604230982,217.7303104477612
augmented_10,10,True,50.0,9,holdout,36.02012550509552,10,10,10,10,8,45.29189749393816,-1.7262927443925595,217.7303104477612
baseline_15,15,False,,0,holdout,38.685132073948566,15,5,15,5,0,29.914570079487298,-0.04626519439741461,229.35432238805976
baseline_15,15,False,,1,holdout,34.9010208728289,15,5,15,5,0,33.813042451827904,-0.0515351737145433,230.25386268656726
baseline_15,15,False,,2,holdout,37.141581155709105,15,5,15,5,0,21.830311974573625,-0.4103121663861562,233.46361194029856
baseline_15,15,False,,3,holdout,30.510004288308338,15,5,15,5,0,29.42611031378755,-0.19175327091541283,233.47801194029853
baseline_15,15,False,,4,holdout,35.77102310481946,15,5,15,5,0,25.737660824026182,-0.005857571007271245,223.1658089552239
baseline_15,15,False,,5,holdout,33.569361800819784,15,5,15,5,0,29.28417900297958,-0.33152639589447275,235.58958208955232
baseline_15,15,False,,6,holdout,37.25519979230186,15,5,15,5,0,26.51794393413424,-0.1826405932592079,216.81708656716418
baseline_15,15,False,,7,holdout,34.274612472869414,15,5,15,5,0,30.683234583063406,-0.18908949245285522,233.80785074626866
baseline_15,15,False,,8,holdout,36.73064916273183,15,5,15,5,0,25.844980755123284,-0.11147887882717966,218.4990746268657
baseline_15,15,False,,9,holdout,35.270363169077065,15,5,15,5,0,37.73786162862439,-0.050456252584763384,218.43605373134332
augmented_15,15,True,3.0,0,holdout,38.685132073948566,15,5,15,5,8,32.41564719628415,-0.22852964472944515,229.35432238805976
augmented_15,15,True,5.0,0,holdout,38.685132073948566,15,5,15,5,8,32.40805564898074,-0.22795428377753946,229.35432238805976
augmented_15,15,True,10.0,0,holdout,38.685132073948566,15,5,15,5,8,32.40476492964852,-0.22770492307598778,229.35432238805976
augmented_15,15,True,20.0,0,holdout,38.685132073948566,15,5,15,5,8,32.4039651459082,-0.22764432172181248,229.35432238805976
augmented_15,15,True,50.0,0,holdout,38.685132073948566,15,5,15,5,8,32.40387211883997,-0.2276372729555498,229.35432238805976
augmented_15,15,True,3.0,1,holdout,34.9010208728289,15,5,15,5,8,35.377288836102366,-0.15107706193831083,230.25386268656726
augmented_15,15,True,5.0,1,holdout,34.9010208728289,15,5,15,5,8,35.36904336599267,-0.15054055584893788,230.25386268656726
augmented_15,15,True,10.0,1,holdout,34.9010208728289,15,5,15,5,8,35.36562991319343,-0.1503184901103487,230.25386268656726
augmented_15,15,True,20.0,1,holdout,34.9010208728289,15,5,15,5,8,35.36475594633481,-0.15026163672939497,230.25386268656726
augmented_15,15,True,50.0,1,holdout,34.9010208728289,15,5,15,5,8,35.36441915074175,-0.15023972784327144,230.25386268656726
augmented_15,15,True,3.0,2,holdout,37.141581155709105,15,5,15,5,8,20.46368185860786,-0.2392613888905566,233.46361194029856
augmented_15,15,True,5.0,2,holdout,37.141581155709105,15,5,15,5,8,20.456580905788663,-0.23840148401976413,233.46361194029856
augmented_15,15,True,10.0,2,holdout,37.141581155709105,15,5,15,5,8,20.45371821466881,-0.2380549048047158,233.46361194029856
augmented_15,15,True,20.0,2,holdout,37.141581155709105,15,5,15,5,8,20.452967332174225,-0.2379640052742178,233.46361194029856
augmented_15,15,True,50.0,2,holdout,37.141581155709105,15,5,15,5,8,20.45277205421246,-0.23794036607021396,233.46361194029856
augmented_15,15,True,3.0,3,holdout,30.510004288308338,15,5,15,5,8,28.38004424971974,-0.10852826627426349,233.47801194029853
augmented_15,15,True,5.0,3,holdout,30.510004288308338,15,5,15,5,8,28.372914583491422,-0.1079713648319256,233.47801194029853
augmented_15,15,True,10.0,3,holdout,30.510004288308338,15,5,15,5,8,28.369792931201157,-0.10772757520845766,233.47801194029853
augmented_15,15,True,20.0,3,holdout,30.510004288308338,15,5,15,5,8,28.369119708267284,-0.10767500247650119,233.47801194029853
augmented_15,15,True,50.0,3,holdout,30.510004288308338,15,5,15,5,8,28.36881113383934,-0.10765090597122695,233.47801194029853
augmented_15,15,True,3.0,4,holdout,35.77102310481946,15,5,15,5,8,33.47951234631827,-0.7019883754675047,223.1658089552239
augmented_15,15,True,5.0,4,holdout,35.77102310481946,15,5,15,5,8,33.46768772113174,-0.7007863376143719,223.1658089552239
augmented_15,15,True,10.0,4,holdout,35.77102310481946,15,5,15,5,8,33.46280653957067,-0.7002902626194414,223.1658089552239
augmented_15,15,True,20.0,4,holdout,35.77102310481946,15,5,15,5,8,33.461564781388006,-0.7001640741499,223.1658089552239
augmented_15,15,True,50.0,4,holdout,35.77102310481946,15,5,15,5,8,33.461159928896734,-0.7001229337249668,223.1658089552239
augmented_15,15,True,3.0,5,holdout,33.569361800819784,15,5,15,5,8,26.144497588656858,-0.06131493455811188,235.58958208955232
