dedup_key,doi,pmid,year,journal,title,is_oa,oa_with_pdf_url,is_caffeine,is_nicotinamide,is_lidocaine,is_ibuprofen,has_flux_term,has_cumulative_term,has_kp_term,has_lag_term,has_franz,has_ivpt_acronym,has_skin_type,has_ivivc,has_pg_pct,has_etoh_pct,has_water_pct,has_mineral_oil_pct,has_ipm_pct,has_carbopol_pct,has_hpmc_pct,has_poloxamer_pct,has_gel_word_in_title,is_review,is_in_vivo_only,is_animal_pk_only,is_iontophoresis_or_microneedle,has_percent_range,percent_value_count,multi_formulation_terms,endpoint_signal_count,method_signal_count,with_quantitative_pct_in_abstract,modelling_ready_oa,candidate_score
doi:10.3390/ma11050864,10.3390/ma11050864,29789468,2018,Materials,In Vitro Evaluation of 2D-Printed Edible Films for the Buccal Delivery of Diclofenac Sodium.,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,,,,,False,False,False,False,False,0,2,1,0,False,False,12.4
doi:10.1016/j.jsps.2018.04.004,10.1016/j.jsps.2018.04.004,30202219,2018,Saudi Pharmaceutical Journal,Nanostructured liquid crystalline formulation as a remarkable new drug delivery system of anti-epileptic drugs for treating children patients.,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,False,False,False,False,False,5,5,0,0,False,False,26.4
doi:10.1208/s12249-018-1196-8,10.1208/s12249-018-1196-8,30421383,2018,AAPS PharmSciTech,Skin Penetration and Permeation Properties of Transcutol®-Neat or Diluted Mixtures.,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,True,False,False,False,False,0,4,0,0,False,False,17.4
doi:10.2147/ijn.s150319,10.2147/ijn.s150319,29317821,2018,International journal of nanomedicine,Tacrolimus nanoparticles based on chitosan combined with nicotinamide: enhancing percutaneous delivery and treatment efficacy for atopic dermatitis and reducing dose.,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,,,,False,False,False,False,False,1,4,0,0,False,False,18.4
doi:10.1016/j.xphs.2018.02.013,10.1016/j.xphs.2018.02.013,29462632,2018,Journal of pharmaceutical sciences,Water Activity and Its Significance in Topical Dosage Forms.,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,,False,False,False,False,False,0,8,0,1,False,False,33.4
doi:10.2147/ijn.s201356,10.2147/ijn.s201356,30880964,2019,International journal of nanomedicine,&lt;p&gt;Preparation and optimization of lidocaine transferosomal gel containing permeation enhancers: a promising approach for enhancement of skin permeation&lt;/p&gt;,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,False,False,False,False,False,0,8,0,0,False,False,33.45
doi:10.1016/j.ijpx.2019.100025,10.1016/j.ijpx.2019.100025,31517290,2019,International Journal of Pharmaceutics: X,3-O-ethyl-l-ascorbic acid: Characterisation and investigation of single solvent systems for delivery to the skin.,True,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,,,,,False,False,False,False,False,0,6,0,2,False,False,29.45
doi:10.1186/s12906-019-2701-7,10.1186/s12906-019-2701-7,31660940,2019,BMC Complementary and Alternative Medicine,"Anti-inflammatory and cytotoxic activities of the extracts, fractions, and chemical constituents isolated from Luehea ochrophylla Mart.",True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,False,False,False,False,False,0,0,0,0,False,False,1.45
doi:10.7150/thno.29715,10.7150/thno.29715,30662553,2019,Theranostics,CD44 Assists the Topical Anti-Psoriatic Efficacy of Curcumin-Loaded Hyaluronan-Modified Ethosomes: A New Strategy for Clustering Drug in Inflammatory Skin.,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,,,,False,False,False,False,False,0,2,0,0,False,False,9.45
doi:10.1208/s12249-018-1263-1,10.1208/s12249-018-1263-1,30627930,2019,AAPS PharmSciTech,Design and Development of Lidocaine Microemulsions for Transdermal Delivery.,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,,,,,False,False,False,False,False,5,0,0,0,True,False,9.45
